rate_hz,n_spikes_last_trial,wall_s,exploded_frac,MN9_L_hz,MN9_L_sd,MN9_L_hz_stable,MN9_R_hz,MN9_R_sd,MN9_R_hz_stable,bitter_hz
100.0,538906,12.633423995971679,0.6,60.4,16.0822883943797,42.0,0.0,0.0,0.0,0
50.0,158380,7.171686506271362,0.6,11.6,5.122499389946279,6.0,0.0,0.0,0.0,50
100.0,757045,9.813283681869507,0.4,4.6,5.276362383309167,0.3333333333333333,0.0,0.0,0.0,100
200.0,781994,15.386194515228272,1.0,0.2,0.4,,0.0,0.0,,200
