rate_hz,n_spikes_last_trial,wall_s,exploded_frac,MN9_L_hz,MN9_L_sd,MN9_L_hz_stable,MN9_R_hz,MN9_R_sd,MN9_R_hz_stable
10.0,595,0.9694617748260498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,1664,0.2491908073425293,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,4263,0.9189358234405518,0.0,9.0,3.286335345030997,9.0,10.0,4.33589667773576,10.0
100.0,463508,83.35056166648864,1.0,7.0,2.756809750418044,,5.0,1.0954451150103321,
150.0,469438,79.52025938034058,1.0,24.0,5.966573556070519,,18.6,4.2708313008125245,
200.0,474900,39.38239340782165,1.0,48.2,4.707440918375928,,40.0,4.774934554525329,
