rate_hz,n_spikes_last_trial,wall_s,exploded_frac,MN9_L_hz,MN9_L_sd,MN9_L_hz_stable,MN9_R_hz,MN9_R_sd,MN9_R_hz_stable,bitter_hz
100.0,306203,7.215416193008423,0.8,,,,18.6,7.002856560004639,25.0,0
50.0,7688,251.68072423934936,0.6,,,,1.0,1.2649110640673518,2.5,50
100.0,8872,5.52970814704895,0.4,,,,0.0,0.0,0.0,100
200.0,11139,8.063965702056885,0.6,,,,0.0,0.0,0.0,200
