condition,ignited,trials,spikes_per_trial,wall_s,MN9_L,MN9_R,MN9_all,gf_L,gf_R,gf_all,dnp09_L,dnp09_R,dnp09_all,odn1_L,odn1_R,odn1_all,dna01_L,dna01_R,dna01_all,dna02_L,dna02_R,dna02_all,mdn_L,mdn_R,mdn_all,adn_L,adn_R,adn_all,halt_L,halt_R,halt_all,pc1_L,pc1_R,pc1_all,p1_L,p1_R,p1_all,aipg_L,aipg_R,aipg_all,tk_L,tk_R,tk_all,pip10_L,pip10_R,pip10_all,vpr6_L,vpr6_R,vpr6_all,dnp13_L,dnp13_R,dnp13_all,asp22_L,asp22_R,asp22_all,da1_lpn_L,da1_lpn_R,da1_lpn_all
orn_dm1_L,0,2,15307.0,13.855625629425049,0.05002477099670876,0.0,0.02501238549835438,0.0,0.0,0.0,0.8635965072765857,0.8226396888458967,0.8431180980612412,0.061100393271710955,1.0112053561202423,0.5361528746959769,1.3111215140066155,1.3722219072783266,1.3416717106424711,0.0,0.0,0.0,1.2765394385868687,0.643447761685896,0.9599936001363822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9412032041577,0.97060160207885,0.0,0.0,0.0
orn_dm1_R,0,2,13304.5,13.066041707992554,1.095925460646735,0.0,0.5479627303233675,0.0,0.0,0.0,1.8308182969288522,0.0,0.9154091484644261,1.2272342050802385,3.0580525020090907,2.1426433535446647,3.0580525020090907,2.3575023997097646,2.7077774508594286,0.0,0.0,0.0,5.522755672656531,6.605234299692943,6.063994986174736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8972678777126356,0.4486339388563178,0.0,0.0,0.0
orn_v_L,0,2,97.0,4.684588193893433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_v_R,0,2,6090.5,11.692782163619995,1.9873835994724132,0.0,0.9936917997362066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1171353372325386,1.0585676686162693,0.0,4.675181957469185,2.3375909787345925,2.790655749193176,2.6164564413658815,2.703556095279529,10.343290258983366,8.714030144664644,9.528660201824007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da2_L,0,2,680.0,5.2088024616241455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da2_R,0,2,743.0,5.289506673812866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da1_L,0,2,482.5,5.074422597885132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5647008650596037,2.687647645246816,2.6214455328383175
orn_da1_R,0,2,2142.5,10.360945224761963,15.337346637935198,0.0,7.668673318967599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022477578532152376,0.0,0.011238789266076188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016055413237251702,0.0,0.0008027706618625851,0.0,0.0,0.0,0.018403084798998597,0.0,0.009201542399499298,0.0,0.0,0.0,0.018403084798998597,0.03347025627544069,0.025936670537219646,0.0,0.0,0.0,2.4358385319280687,8.63972395611771,5.29917026616944
orn_dl3_L,0,2,1766.0,5.066563367843628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dl3_R,0,2,2141.5,5.0713887214660645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
